8e51 祴
8eb6 擊
8ee1 ⼅
8ee8 ⼛
8eee ⼢
8ef0 ⼂
8ef3 ⼴
8ef4 ⼵
8ef8 ⼺
8f49 艸
8fac 蔻
8fad 簆
8fe3 撐
92aa 毆
92b1 飧
92e6 濬
9340 闃
93f8 寘
9475 叱
94ee 示
9545 跚
9561 任
9569 衽
9679 彞
96eb 望
96ee 禺
96ef 隅
96f0 愚
9747 顒
974d 釉
974f 毌
97dd 舋
985d 袼
9865 榼
9956 比
99ab 垂
99ac 華
99cb 周
99cd 善
99d7 米
99e0 契
9a6e 裒
9adc 搠
f9d6 碁
f9d8 裏
f9d9 墻
f9da 恒
f9dc 嫺
fa55 鸔
fa5f 髀
fae5 驁
fb79 劈
fba7 氕
fbe1 鞪
fca8 搭
fcc5 丟
fddd 欖
fe41 甯
